Loading core dump: .\Order.API-11.dmp ...
Statistics:
          MT  Count  TotalSize Class Name
7ffcd090c850      1         24 System.Collections.Generic.ObjectComparer<System.Tuple<System.Int32, System.Int32>>
7ffcd09124c8      1         24 Serilog.Debugging.SelfLog+SelfLogFailureListener
7ffcd0914368      1         24 System.DBNull
7ffcd0937ad0      1         24 System.Text.RegularExpressions.RegexNode[]
7ffcd0937c70      1         24 System.Text.RegularExpressions.RegexCharClass+<>c
7ffcd091ba08      1         24 Serilog.Settings.Configuration.StringArgumentValue+<>c
7ffcd09473a0      1         24 System.Buffers.SharedArrayPool<Serilog.Parsing.MessageTemplateToken>+<>c
7ffcd0969798      1         24 System.Collections.Generic.ObjectEqualityComparer<System.Text.RegularExpressions.RegexNode>
7ffcd366b1c8      1         24 System.Collections.Generic.GenericEqualityComparer<Serilog.Extensions.Logging.EventIdPropertyCache+EventKey>
7ffcd0984ad0      1         24 System.Reflection.CerHashtable<System.Reflection.RuntimeMethodInfo, System.Reflection.RuntimeMethodInfo>
7ffcd0986878      1         24 System.Reflection.Emit.LocalBuilder[]
7ffcd098a0a8      1         24 System.Threading.Tasks.ThreadPoolTaskScheduler+<>c
7ffcd098d2f0      1         24 System.Threading.CancellationTokenSource+LinkedNCancellationTokenSource+<>c
7ffcd0992c28      1         24 Serilog.Sinks.SystemConsole.Themes.SystemConsoleTheme+<>c
7ffcd099fce0      1         24 Serilog.Sinks.SystemConsole.Themes.EmptyConsoleTheme
7ffcd09b4ae0      1         24 Serilog.Core.Pipeline.ByReferenceStringComparer
7ffcd09b0d40      1         24 Serilog.LoggerConfiguration+<>c
7ffcd09b5c90      1         24 Serilog.Core.LevelOverrideMap+<>c
7ffcd09b8c28      1         24 System.Collections.Generic.GenericComparer<System.String>
7ffcd09c1e98      1         24 System.Linq.Enumerable+EnumerableSorter<System.Collections.Generic.KeyValuePair<System.String, Serilog.Core.LoggingLevelSwitch>>+<>c
7ffcd09ca510      1         24 Serilog.Events.LogEventProperty[]
7ffcd09cb170      1         24 Serilog.Core.Pipeline.SilentLogger
7ffcd09cdd40      1         24 Microsoft.Extensions.Hosting.HostApplicationBuilder+<>c
7ffcd0402ce8      1         24 System.Collections.Generic.ObjectEqualityComparer<System.Object>
7ffcd09d4280      1         24 Microsoft.Extensions.Hosting.HostBuilder+<>c
7ffcd09d7750      1         24 Microsoft.Extensions.DependencyInjection.LoggingServiceCollectionExtensions+<>c
7ffcd09d8380      1         24 Microsoft.Extensions.Logging.DefaultLoggerLevelConfigureOptions
7ffcd09d8c50      1         24 Microsoft.Extensions.Logging.DefaultLoggerLevelConfigureOptions+<>c__DisplayClass0_0
7ffcd09ce8f8      1         24 Microsoft.Extensions.Hosting.HostApplicationBuilder+LoggingBuilder
7ffcd09ceaa8      1         24 Microsoft.Extensions.Hosting.HostApplicationBuilder+MetricsBuilder
7ffcd1ab3370      1         24 Microsoft.AspNetCore.Watch.BrowserRefresh.BlazorWasmHotReloadMiddleware
7ffcd1ab6328      1         24 Microsoft.AspNetCore.Watch.BrowserRefresh.BlazorWasmHotReloadMiddleware+Update[]
7ffcd1ab6908      1         24 Microsoft.Extensions.Logging.Logger<Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserScriptMiddleware>
7ffcd0b6cac8      1         24 Microsoft.AspNetCore.Mvc.Filters.MiddlewareFilterConfigurationProvider
7ffcd1b47850      1         24 Microsoft.AspNetCore.Server.Kestrel.Core.Internal.CertificateConfig[]
7ffcd1c26b18      1         24 System.Text.Json.Serialization.Metadata.ReflectionEmitCachingMemberAccessor+Cache<System.ValueTuple<System.String, System.Type, System.Reflection.MemberInfo>>+<>c__6<System.Func<System.Object, System.String>>
7ffcd1c294a0      1         24 System.Text.Json.Serialization.Metadata.ReflectionEmitCachingMemberAccessor+Cache<System.ValueTuple<System.String, System.Type, System.Reflection.MemberInfo>>+<>c__6<System.Action<System.Object, System.String>>
7ffcd0a10ce8      1         24 Microsoft.Extensions.Hosting.HostingHostBuilderExtensions+<>c
7ffcd0a11038      1         24 Microsoft.Extensions.Logging.FilterLoggingBuilderExtensions+<>c__DisplayClass4_0<Microsoft.Extensions.Logging.EventLog.EventLogLoggerProvider>
7ffcd0a11ea0      1         24 Microsoft.Extensions.Logging.LoggerFilterConfigureOptions
7ffcd0a11a30      1         24 Microsoft.Extensions.Logging.Configuration.LoggingConfiguration
7ffcd0a19918      1         24 Microsoft.Extensions.Logging.LoggerFilterRule[]
7ffcd1c2e4d0      1         24 System.Text.Json.Serialization.Metadata.ReflectionEmitCachingMemberAccessor+Cache<System.ValueTuple<System.String, System.Type, System.Reflection.MemberInfo>>+<>c__6<System.Func<System.Object, System.Int32>>
7ffcd1db8a28      1         24 Microsoft.AspNetCore.Server.Kestrel.Core.Internal.HttpConnection+<>c__12<Microsoft.AspNetCore.Hosting.HostingApplication+Context>
7ffcd1dbef00      1         24 System.Collections.Generic.GenericEqualityComparer<System.Int64>
7ffcd1ed94c8      1         24 System.Threading.AsyncLocal<System.Diagnostics.Activity>
7ffcd1cb5ff8      1         24 Microsoft.OpenApi.Models.OpenApiSchema[]
