Loading core dump: .\Order.API-3.dmp ...
Statistics:
          MT   Count  TotalSize Class Name
7ffcf37baa50       1         24 Serilog.Settings.Configuration.Assemblies.DllScanningAssemblyFinder+<>c
7ffcf37bf5d0       1         24 System.IO.Enumeration.FileSystemEnumerableFactory+<>c
7ffcf3803c88       1         24 System.Collections.Immutable.ImmutableArray<System.Reflection.PortableExecutable.SectionHeader>
7ffcf380bea0       1         24 System.Reflection.PortableExecutable.SectionHeader[]
7ffcf380f470       1         24 System.Reflection.Metadata.MetadataStringDecoder
7ffcf3851318       1         24 System.Collections.Generic.ObjectEqualityComparer<System.RuntimeType>
7ffcf3868948       1         24 System.Reflection.CustomAttributeData[]
7ffcf386bce8       1         24 System.Reflection.CustomAttributeCtorParameter[]
7ffcf389f268       1         24 System.Buffers.SharedArrayPool<System.Reflection.MethodInfo>+<>c
7ffcf389f400       1         24 Serilog.Settings.Configuration.SurrogateConfigurationMethods+<>c
7ffcf391c850       1         24 System.Collections.Generic.ObjectComparer<System.Tuple<System.Int32, System.Int32>>
7ffcf39224c8       1         24 Serilog.Debugging.SelfLog+SelfLogFailureListener
7ffcf3924368       1         24 System.DBNull
7ffcf3947ad0       1         24 System.Text.RegularExpressions.RegexNode[]
7ffcf3947c70       1         24 System.Text.RegularExpressions.RegexCharClass+<>c
7ffcf392ba08       1         24 Serilog.Settings.Configuration.StringArgumentValue+<>c
7ffcf39573a0       1         24 System.Buffers.SharedArrayPool<Serilog.Parsing.MessageTemplateToken>+<>c
7ffcf3979798       1         24 System.Collections.Generic.ObjectEqualityComparer<System.Text.RegularExpressions.RegexNode>
7ffcf3994ad0       1         24 System.Reflection.CerHashtable<System.Reflection.RuntimeMethodInfo, System.Reflection.RuntimeMethodInfo>
7ffcf3996878       1         24 System.Reflection.Emit.LocalBuilder[]
7ffcf399a0a8       1         24 System.Threading.Tasks.ThreadPoolTaskScheduler+<>c
7ffcf399d2f0       1         24 System.Threading.CancellationTokenSource+LinkedNCancellationTokenSource+<>c
7ffcf3a20708       1         24 Serilog.Sinks.File.Clock+<>c
7ffcf3a218f0       1         24 Serilog.Sinks.File.RollingFileSink+<>c
7ffcf391c528       1         24 System.Collections.Generic.NullableComparer<System.Int32>
7ffcf39a2c28       1         24 Serilog.Sinks.SystemConsole.Themes.SystemConsoleTheme+<>c
7ffcf39afce0       1         24 Serilog.Sinks.SystemConsole.Themes.EmptyConsoleTheme
7ffcf39c4ae0       1         24 Serilog.Core.Pipeline.ByReferenceStringComparer
7ffcf39c0d40       1         24 Serilog.LoggerConfiguration+<>c
7ffcf39c5c90       1         24 Serilog.Core.LevelOverrideMap+<>c
7ffcf39c8c28       1         24 System.Collections.Generic.GenericComparer<System.String>
7ffcf39d1e98       1         24 System.Linq.Enumerable+EnumerableSorter<System.Collections.Generic.KeyValuePair<System.String, Serilog.Core.LoggingLevelSwitch>>+<>c
7ffcf39db170       1         24 Serilog.Core.Pipeline.SilentLogger
7ffcf39e4250       1         24 System.Diagnostics.ActivityListener[]
7ffcf39e44e0       1         24 System.Diagnostics.ActivitySource+<>c
7ffcf39e1590       1         24 System.Threading.AsyncLocal<System.Diagnostics.Activity>
7ffcf39ed2e8       1         24 System.Threading.AsyncLocal<Serilog.Context.EnricherStack>
7ffcf3a24460       1         24 System.IO.Stream+NullStream
7ffcf3a28320       1         24 System.Collections.Generic.EnumEqualityComparer<Serilog.Sinks.SystemConsole.Themes.ConsoleThemeStyle>
7ffcf3a3bf10       1         24 System.Collections.Generic.EnumEqualityComparer<Serilog.Events.LogEventLevel>
7ffcf391b9e8       1         24 System.Collections.Generic.GenericComparer<System.Int32>
7ffcf3a3cbd0       1         24 System.Threading.AsyncLocal<System.Boolean>
7ffcf3a3f320       1         24 System.Collections.Generic.NullableComparer<System.DateTime>
7ffcf3a53e58       1         24 Microsoft.Extensions.Hosting.HostApplicationBuilder+<>c
7ffcf3a59018       1         24 System.Buffers.SharedArrayPool<Serilog.Sinks.File.RollingLogFile>+<>c
7ffcf3a5aec0       1         24 System.Linq.Enumerable+EnumerableSorter<Serilog.Sinks.File.RollingLogFile>+<>c
7ffcf3a5e040       1         24 System.Collections.Generic.GenericComparer<System.DateTime>
7ffcf3402ce8       1         24 System.Collections.Generic.ObjectEqualityComparer<System.Object>
